Comment,Time,zan
亢奋里的台词 “我渴望有人致死都暴烈的爱我，明白爱和死一样强大，并永远站在我身边”,6月18日 12:32  来自河北,2
今天下雨吗：,6月18日 11:05  来自湖北,1
这不是《橘子不是唯一的水果》里的文字吗？,6月18日 08:34  来自四川,
这不是《橘子不是唯一的水果》里的文字吗？,6月17日 21:35  来自河南,1
亢奋里的台词 “我渴望有人致死都暴烈的爱我，明白爱和死一样强大，并永远站在我身边”,6月17日 19:46  来自河北,1
ins上来的，终于找到这首歌了,6月17日 18:47  来自江苏,
有没有人当Ari AbduI小组组长,6月17日 17:50  来自宁夏,
耳钉怀孕了,6月17日 12:38  来自福建,
好听,6月17日 09:15  来自福建,1
6你觉得姐会怕吗.,6月16日 22:42  来自陕西,
这首歌表现出的占有欲好强啊！,6月16日 20:13  来自河南,
上瘾了我去,6月16日 14:29  来自山东,1
baby,6月15日 23:38  来自江苏,
爱死这首，直接封神,6月15日 20:25  来自江西,
“所以呢？”,6月15日 17:37  来自湖北,2
妈的这音乐真好听,6月15日 15:24  来自甘肃,
好听,6月15日 14:04  来自安徽,1
好听,6月14日 18:46  来自上海,1
希望能抓住最后的机会吧,6月13日 23:37  来自云南,
单首循环,6月13日 21:53  来自北京,
这歌打飞车好爽,6月13日 20:56  来自河北,
好听！,6月13日 20:08  来自江西,2
“所有的偏见 都来自于眼界和认知的局限性”,6月13日 19:16  来自河南,
最近看了三分野跑来这里搜歌了，果然很纯很欲，向园和徐燕时在车里kiss的专属音乐🎵，爱了爱了,6月13日 14:45  来自广东,
谁懂 看一些比较瑟的剪辑都是这个 但是一直不知道什么名字 今天恰巧听到了,6月13日 14:45  来自广东,1
好惊人的收藏量,6月13日 10:46  来自河南,1
十二月民间，寒梅扣紧身体里的烈火,6月12日 22:36  来自四川,1
找到了🥹,6月12日 21:43  来自河南,17
666,6月12日 21:25  来自浙江,1
爱了爱了,6月12日 21:02  来自广西,
我喜欢zyt.,6月12日 20:15  来自四川,
太好听啦！,6月12日 16:35  来自广东,
好好听,6月12日 12:45  来自广东,
太好听啦,6月12日 00:04  来自四川,1
云母屏风烛影深，长河渐落晓星沉。,6月11日 23:11  来自甘肃,
《格列佛游记》里说：不卑不亢，心态平和是成功者的通行证。,6月11日 21:35  来自湖南,3
好,6月11日 21:24  来自甘肃,
"一个人的高级孤独，胜过一群灯红酒绿的狂欢。
Ari Abdul 的这种唱风表达和这首歌简直是绝配，一种痴迷的伤感和高冷的孤独，在身边若隐若现，漂浮不定，患得患失。。。",6月11日 15:41  来自江苏,
这首歌不错 喜欢的人都很有品味,6月11日 15:16  来自河北,
泰好听啦,6月11日 14:51  来自海南,1
“所有的偏见 都来自于眼界和认知的局限性”,6月11日 13:40  来自湖南,2
大拇哥的肯定,6月11日 12:49  来自重庆,1
细思极恐,6月11日 10:30  来自山东,1
剪片の小曲,6月11日 10:11  来自海南,3
0.8倍绝了啊啊啊！,6月11日 10:00  来自四川,1
数学考好！！！💯,6月11日 01:52  来自贵州,1
求求数学上90,6月10日 23:37  来自江西,1
令人上头的旋律 好适合在夏天💃的时候放这首歌！,6月10日 23:32  来自四川,
日推来的,6月10日 22:31  来自四川,
每次听到这首歌脑子里总是有几个画面闪过,6月10日 21:25  来自广西,
@小琴 如何评价这首歌,6月10日 20:42  来自山东,
太好听了,6月10日 20:28  来自上海,
必🔥,6月10日 17:37  来自广东,
靓坤：我现在火气很大,6月10日 17:30  来自四川,3
@小琴 如何评价这首歌,6月10日 17:16  来自浙江,
我的挚爱 明天醒来还爱我嘛,6月10日 15:08  来自广东,
